,title,rating,comment,date
416,👍🏻,5.0 stars,One of my favorite places now.. Thank you ash you were a great help .... as well with there great customer service. Will be more than happy to come back to this place again 10/10,"December 15, 2018"
417,Best,5.0 stars,This is the probably the greatest place to order from,"September 18, 2018"
418,Always been.,5.0 stars,The goer for the Explore. Stealth Bomber.,"August 17, 2018"
419,Estevan Zapien,5.0 stars,prop 1.9 5.0 assets,"July 19, 2018"
420,Highly compact and convenient for anytime,5.0 stars,"Super Amazing flavorful fat clouds!!! Refilling the pods for the Stiiizy is very easy to do, much more worth it to buy the 1g syringes and refill when needed! Definitely a great choice at a low cost.","July 08, 2018"
421,Great pod killed by battery!,5.0 stars,"Hello, I’ve had two pods one battery. Neither pod was smoked properly. Imagine hyperventilating on a pod thinking this time it’s going to work! You inhale a puff, hold it a beat and exhale.repeat this process 10 times. You may hit 3 puffs of product. All 10 inhalation goes to your head. I’m I buzzed??? YOU bet. Not from the medication. I’m light headed from those 10 attempts. Moreover, I noticed the oil has been sucked out of the top holes!! OMG now the pod is sticky with oil. My lips have a thick oil slathered on them too. I needed dawn dish soap to wipe this oil off me and the pod. In the end, I liked the oil but the damn battery is killing the whole experience of the pod. Why would Stiiizy allow that to occur? Someone better get to working on those growing image problem before it goes viral. All the good hits taken by the lucky can not offset the voices of an unfulfilled medication experience had by the not so lucky.","July 02, 2018"
422,411 and one stop shop,5.0 stars,Informative and had my favorite go to strains I felt like I was in good hands.,"May 11, 2018"
423,👍🏼,5.0 stars,Give nice big hits,"May 05, 2018"
424,New flavors,5.0 stars,When new flavors coming out I’ve literally spent a rack with all your flavors and products love em,"April 13, 2018"
425,Youtube review on this product,5.0 stars,Full gram review on youtube. Thedankspot714 or search 1 gram Biscotti Review,"April 07, 2018"
426,NY,5.0 stars,Available in NY ?,"March 02, 2018"
427,Discreet,5.0 stars,Easy to charge and sleek,"February 24, 2018"
428,#RESPECT,5.0 stars,See above,"February 19, 2018"
429,Worth it !,5.0 stars,Just got mine today and I’m loving it ! Been looking around for a descent vape pen and finally found one .,"February 14, 2018"
430,Stizzy,5.0 stars,How do i get one of these,"February 13, 2018"
431,Smooth Puff,5.0 stars,Very discreet vape. Mini but powerful.,"February 09, 2018"
432,best battery I've ever had,5.0 stars,this thing is slick easy to charge. love this battery! keep it up stiiizy!,"February 08, 2018"
433,love!,5.0 stars,technology headed in the right direction✔,"February 04, 2018"
434,Question,5.0 stars,For buy in Italy ?,"January 23, 2018"
435,low key great for on the go,5.0 stars,straight fire thanks keep getting better,"January 07, 2018"
436,Dope 💯🔥,5.0 stars,This pen is fantastic in every way you can think of! Best on the market right now I will only be purchasing my pens from Stiiizy 🙏🏾 Great product,"December 24, 2017"
437,Great product,5.0 stars,"Stiiizy, this small pen feels like taking a mini dab and it really hits hard for being such a tiny battery and pod. Love the battery life too!!!","December 14, 2017"
438,A+,5.0 stars,Wow,"December 10, 2017"
439,Great design,5.0 stars,Very sleek delivery system,"November 30, 2017"
440,to the plug man,5.0 stars,unplug.,"January 04, 2020"
441,#daddyapproves,5.0 stars,Perfecto! Finally a device that does the job! Stunning design’,"February 23, 2018"
442,Awesome for Beginners to Experts,4.8 stars,Ive been vaping for a while and needed a new battery.I decidedly try STIIIZY even though they have propiatary pods you have to use. As it turnet they are the best I’ve ever had! Surprised me. I bought the starter kit and 2 different pods. Easily best so fa for real true flavor and a great effect. Awesome taste. Zero pesticides! See if anybody else has that!They did dry my mouth out pretty bad. Only negative.Going to try all the flavors they have. Well worth it.,"April 30, 2018"
443,One of he best pens out there,4.7 stars,"Loved it, tends to go by fast if I don't have anything to do, the perfect travel pen. Easy to conceal and rips fat off a fresh cart. Can be a bit pricy compared to flower but on the go it can't be beat!","April 20, 2018"
444,The broken battery and Stiizy’s customer service,4.0 stars,I recently had to replace the Stiizy battery that broke after 6 weeks gentle use. The store manager did not want to deal with my problem so she said there was nothing she could do. I ended up contacting Stiizy customer service and they helped me right away. I submitted photos of my broken battery and Stiizy’s customer service arranged for a swap out of my old broken battery. Now I have a functioning battery. Thanks Stiizy,"June 12, 2018"
445,Hardest hitting pen I’ve used,4.0 stars,"Stiiizy checks all the boxes for me - discreet, packs a punch, tastes great, doesn’t cost too much. Been using it consistently for months now with pretty much no issues aside from getting a fake pod every now and then. Only thing I could ask for is a better battery life, I find myself charging it a lot.","March 25, 2019"
446,"Yes, I still Love my Stiiizi",4.0 stars,"I’ve had the same battery for years and never had a never a problem with a pod either. Stiiizi was my first try at a pen and I did abandon it to try other new supposed to be better pens more than once, but I always go back to the Stiiiz. I think their product is good and if it wasn’t, I don’t feel they’d still be around. Stoners & Cannabis aficionados alike would support the company if the product wasn’t true.","November 13, 2019"
447,no medical,4.0 stars,need rec arkansas 501,"March 06, 2022"
448,Great Stater,4.0 stars,"Easy to store, only downside is no cart with it but it’s still a good buy :)","March 06, 2023"
449,Sleek,4.0 stars,"Love Stiiizy and the battery lasts me awhile before I have to charge it. But if your looking for something with a little more hit, go with the Biiig Advance Battery from Stiiizy.","December 30, 2022"
450,fine,4.0 stars,little happiness for me),"August 01, 2019"
451,good kit,4.0 stars,mine works just right I just wish battery lasted a little longer,"June 11, 2019"
452,My Favorite,4.0 stars,This is my favorite wax pen to use. Just wish the pod wasn’t plastic. Once the pod gets near finished I can start tasting plastic.. but I get hella high after 🤣,"March 20, 2019"
453,Good Little Vape,4.0 stars,Nice little pod system. The oils are hella tasty. The 0.5 pods are perfect. The 1.0 pods clog all the time. The battery charges and fires nicely.,"December 11, 2018"
454,"Good, but...",4.0 stars,"3.5 stars would be more accurate, but I'm rounding up because I love Stiiizy. I like how discrete the pen is, but it doesn't have much power to it. Also, the magnets don't hold the pods super well. But with that being said, I definitely recommend this pen anyway!","December 07, 2022"
455,ok at best,4.0 stars,gave 4 stars bc it did hit properly but wasn't as good as hyped up to be,"September 05, 2021"
456,Check them out,4.0 stars,they got quality stuff,"November 19, 2020"
457,It's a cool slick device,4.0 stars,It's cool. I like it. It get me pretty faded. Love the feeling of their pods. :),"August 31, 2020"
458,Looks cool!,4.0 stars,Really like the look of it,"August 20, 2020"
459,love it,4.0 stars,"I love it over all everything is great, I only wish they had more of a selection. Also the second time I charged my battery the hit was alot harsher than the first time. idk if I messed the battery up or if by some chance I turned the voltage up. but besides that it was great!","October 07, 2019"
460,Good stuff,4.0 stars,"Love it, need it, I got it!","August 19, 2019"
461,"Decent, But on it's way out the door",4.0 stars,"Stiiizy is a decent brand, they have a lot of marketing and dedicated patients, but I feel like they need to step up their game. The oil quality is great, but they should branch out a bit more","April 21, 2019"
462,Best vape pen in the market,4.0 stars,Stiiitzy I'm coming for you,"August 20, 2018"
463,"Great idea, very poor quality",3.7 stars,"I purchased my first Stiiizy and pod exactly a week ago on May 16th after a buddy of mine recommended them over the generic threaded cartridges. At first I noticed that the draw seemed clogged but it would hit after quite a bit of effort. After looking it up on google I figured I got a defective pod so I went and bought a replacement pod and it was still hitting the same. I transferred the pods to my buddies Stiiizy battery and the draw was great. Once you hit the Stiiizy until the light blinks it feels like you took a dab off rig. I contacted the vendor whom I bought it from and he said it was a matter to discuss with Stiiizy themselves and referred me to their website. Im waiting to hear back from them but I’ll update this review once I do but after looking reading reviews on separate websites it seems this is a common issue. Overall, it’s a potent, discreet, well-designed product when it works","May 23, 2018"
464,Great pen but was let down,3.0 stars,"Bought my pen 9days ago. Everything was perfect hit great perfect amount of smoke, nice smooth draws, but then I had to charge it and that’s where it went bad. Hooked it up and came back to get about an hour later when I tried to disconnect it the whole casing came off exposing the wires while it was still connected and charging. It slid back on but now nothing won’t draw won’t work. Super bummed. Shouldn’t of had this experience within 9days of purchasing it!","April 25, 2019"
465,Man...,3.0 stars,"I love stiizy pods for the experience, accessibility and convenience of pricing but these damn batteries are always going out on me. At least three newish batteries wouldn’t charge anymore. I shouldn’t have to fix them for a long while if at all.","January 08, 2021"
466,am I high yet? *Sigh*,3.0 stars,Clean look but the cartridge wiggles bc weak magnets keep it in. Wish I got a PAX,"May 20, 2019"
467,Very clean design,3.0 stars,I like the idea of the pen but the cart wiggles and becomes annoying LOL FIX,"July 30, 2020"
468,slight issues but works great,3.0 stars,love the discreetness but I found that the cartridge likes to separate from the battery so I'm constantly pushing the two back together in order for it to work,"January 30, 2021"
469,Eh,3.0 stars,When I first got the stiiizy i was so excited for it but the pods tend to leak towards the end. Im not too happy with this product but the actual wax is bomb af strawnana is my favorite,"January 07, 2019"
470,Overpriced,3.0 stars,I bit overpriced. I’m lucky enough to where I don’t pay more than $5 for these.,"December 26, 2020"
471,Awesome,3.0 stars,This is the1 you been waiting for!..,"February 07, 2020"
472,No fat clouds.,3.0 stars,Don’t know if it’s just the one I got but long story short is.....no fat clouds unless you take blinkers. I just felt like I had to inhale much harder than I had to with this one. The pods hit a lot better with the advance big battery kit so just spend the extra bucks if that’s what your looking for.,"July 21, 2019"
473,Battery,3.0 stars,"So far so good produces big hits , see how long it last olny had it a week why give olny 3 star","May 17, 2019"
474,,3.0 stars,Don’t it hard enough for me kinda disappointed 😔,"May 17, 2019"
475,only when I works,3.0 stars,it amazing when battery works only had mine for 5 days and stopped working out of no where?!,"August 09, 2018"
476,Great but inconsistent hits,3.0 stars,"Had issues with my battery. Wouldn’t work consistently, would have to swap the cartridge out. It was kinda like a Nintendo cartridge, I’d have to take it out and blow on it then put it back in for it to work.","April 17, 2018"
477,Gooood,3.0 stars,"These are some of the best cartridges I have tried m, with that being said the battery wasn’t every durable I had it for 3 pods and I struggle to get a hit out of it even if the battery is fully charged","March 17, 2018"
478,Battery life,3.0 stars,Maybe an hour definitely wish it would last longer. First day I used it was full charge and I hit it once and 30-40 min later I went to actually use it and it was dead. Definitely need a portable on you all the time. Took it to Disneyland and still had to have it charging in my pocket when I wasn’t using it.,"March 02, 2018"
479,Broken vaporizer,2.5 stars,I purchased this battery six weeks ago and one of the internal connections snapped off after 3 uses. The darn thing wasn’t even dropped. I took it back to the shop and the staff refused to do anything about it. Ended up buying another battery to finish the pods that I have. I’ll see how long this battery lasts.,"May 16, 2018"
480,Worst pen waste of money,2.2 stars,Been wanting to try stiizy because i been hearing so much about it. bought the pen 1st and bought a biscotti cart couple days later. So 1st off the pen does not come charged its completely dead which was odd because every battery i buy is always somewhat charged when i buy it. 2nd when i charge it fully and try to pull for a hit it constantly keeps blinking red/white and not allowing me to hit it. I keep looking up trouble shooting for this issue and seeing if anyone else experienced this issue but i cant find anything. Really disappointed about this because the whole set up is 50$ and i cant even use it nor return it. Very upset about this i’ll stick to ye old brass knuckles with a normal ass battery that actually works,"April 10, 2018"
481,Pods leaking,2.0 stars,"Unfortunately, the last two pods I have had has leaked when the pods were about half full. Anyone else is having this issue? When inhaling, sometimes the liquid will end in my mouth, it only happens when the pods are half way done.","February 15, 2019"
482,Short Battery Life,2.0 stars,"My battery lasted about 3 weeks before completely going dead, more specifically no longer accepting charge! I have a brand new pod I can’t even hit, not cool!! Disappointing for sure... I Should’ve gone with a less expensive threaded battery. 2 stars ONLY BECAUSE it’s fun while it lasts... :/","October 15, 2020"
483,Didn’t get me that high,2.0 stars,"First of all they hype is in really this pen didn’t get me super stoned. It’s just a chill kind of high, I would like a refund for this to be honest.","April 17, 2020"
484,I Don't get the Hype,2.0 stars,I’ve had a lot of wax pens and this one by far is my least favorite.,"November 19, 2019"
485,Decent but poor quality,2.0 stars,hits smooth and never burns but the magnets fell out after a week. once that happens the pen is useless bc it cant hold the pods without the magnets.,"February 08, 2018"
486,Doesn’t hit at all,2.0 stars,I’ve cleared half of a sour diesel pod and 2 hours later it still hasn’t hit I smoke a lot but there should still be something,"July 01, 2019"
487,Plug Play is far better,2.0 stars,This isn’t nearly as strong as PP. My friend used Stiizy and he’s been a pothead since he was a kid so he’s got a super high tolerance. My PP kit blew him away in two hits.,"March 04, 2019"
488,Disapointing,2.0 stars,"As ""normal"" as it looks, the hits are very airy and it doesn't give me the feeling of getting a hit nor the taste. I give it 2 ☆'s because it is discrete looking.","May 11, 2020"
489,Stizz battery,2.0 stars,2 batteries have gave me problems after normal use,"April 03, 2020"
490,Not super happy with the flavor and potentency,2.0 stars,Just picked up a Stizzy and was not impressed with the flavor and it really did not get me hightas other products i have tried.,"November 19, 2019"
491,Magnets suck,2.0 stars,I just bought my battery on Thursday and I was finally able to open it yesterday and try it turns out the magnet that connects with the cartridge is weak compared fo my brothers that has a stronger hold. Im pretty annoyed!!,"February 26, 2019"
492,stiiizy defective,1.3 stars,I bought mine yesterday and mine doesn't work. it's fully charged but whenever I put in a cartridge it blinks red. am I doing something wrong or is it the battery?,"April 04, 2018"
493,Are you guys all just that high?!,1 star,"Lmfao!!! Everytime I hear about how the pod didn't last or it burned or leaked lol. NO PEOPLE! STIIIZY IS selling you .325 of a gram and calling it a half and if you buy the ""1 gram"" your only getting .75 of a gram!!! Wtf are you guys supporting these thieves for?? Left coast extracts and west coast cure pods both fit the stiiizy battery and bigger bang for your buck!!! Trust me im in the middle of a false advertisement claim against them!!! F these bastards","April 30, 2022"
494,Don’t wast your time or money!!,1 star,"Worst pull out of any brands I have tried! Don’t wast your money!! Yeah your 1g pod will last forever but you will be struggling to get high! Magnets are not even close to being strong enough let’s way to much airflow during a pull!! Ordered there upgraded battery of there official website and paid and extra 15 buck for shipping for (two day express delivery)!! Scam it took a week and a half to receive my order!! Worst part is I expressed my displeasure to stizzy and they just had a bunch of excuse (covid/getting order ready? Almost seemed like a auto response, Also took about 5 emails to get a response in 5 days!! So long story short shop company’s that care about you!! Stizzy is not one of them!!","March 20, 2021"
495,Not a kit,1 star,"Do not call it a ""starter kit"" when it is just a battery. A real starter kit has everything you need.","December 15, 2020"
496,Horrible magnets,1 star,Magnets don’t pull therefore don’t hit. Older models of this same product used to be better so they are just trying to save money. Very unprofessional,"March 29, 2021"
497,Way too weak,1 star,Still not strong enough to produce a decent size pull off the pod. The light starts flashing right when you get any vapor. And this is the BIIIG ADVANCED KIT. Lame.,"May 29, 2021"
498,"First timer, here.. 😂",1 star,Had no idea I had to buy the pod…I really wish it would ask (have an option) if you’d like to add pods.. I mean that would be Nice! So I’m on the site and don’t see that they only sell pods .. daaaame it lol … 🤦🏽‍♀️Stuck with a piece 😂,"September 19, 2021"
499,battery sucks,1 star,first of all starter kit NO you still need the pod! and wasn't charged when I got it charged it for 9 hours and still can't hit it. I don't know maybe it's defective. I reached out to my delivery peeps and they wanted a picture of what I bought and I still haven't heard from them!,"January 02, 2021"
500,Not for me!,1 star,"This might be nice for the beginner, so if you want a light buzz it's for you, but to me it's way to lightweight!","March 12, 2019"
501,Shitty battery,1 star,"After having it for 4 weeks , the battery broke with light use","December 16, 2018"
502,cheap poory constructed battery,1 star,"avoid Stiiizy products. I have half a cartridge left that will be wasted. their batteries are poorly assembled after less than a month of light use and minimal travel, the positive tab on the actual battery pack within the device snapped off somehow, rendering the whole thing useless","June 26, 2022"
503,Cheap Battery,1 star,I purchased my first starter kit and it only lasted a week before the battery would die after 3 hits. Super cheap quality for such high prices. I would not recommend.,"April 20, 2020"
504,Carts aren’t always all the way full,1 star,Disappointed,"April 07, 2019"
505,Battery stoped working,1 star,Was great for about 2 weeks with moderate use and charging. Then it just stopped working. Would like help please. Storr manager won't help. Product is great. When it works!,"June 30, 2018"
506,Horrible vaporizer!,1 star,"It takes a few puffs to get a good hit. I prefer a different vaporizer I have. I just wanted a cheaper alternative. Well I guess I got what I paid for. A cheaper and not worth the money I spend, vaporizer. I had high Hope's for this vaporizer starting kit but sadly I wish I could give this product a negative 5 starts. Not worth your money!","May 07, 2018"
507,Died,1 star,"Have been using this with only one pod so far, charging it according to what it says and it broke before the first pod was half done. Not worth the cost if I can’t even go through one pod before it breaks! So disappointed, a disposable is more reliable than this battery.","September 30, 2020"
508,,1 star,"Poor quality of the product, I do not recommend, has taken several times and each time the same.","July 23, 2020"
509,WARNING!!!BAD EXPERIENCE WITH STiiiZY,1 star,I got a Big STiiiZY battery at new age on central and that sh#t just stop working after to pods and within 4 months. and when I went to STiiiZY they told they cant do sh#t after a month. Don't get me wrong this sh#t gets you high as a star in the sky but I had more than one bad experience . the first pod I got stop working after one hit. So buyer beware.,"January 22, 2020"
510,upsetting,1 star,Its upsetting to see this brand in so many illegal dispensaries.,"September 06, 2019"
511,Weak vape or cartridge,1 star,Not working properly at all :(,"July 02, 2018"
512,test,5.0 stars,testtetstsstststststststztztztstzttsts,"August 22, 2023"
513,Better Battery Better Buy,5.0 stars,"At first I thought this was just some hypebeast phallus sh!t make it bigger and pay more kinda thing, but actually this is worth the upgrade if you use it enough. For $20 more than the regular you get a battery that lasts significantly longer. I’ve heard “hits harder” attributed as well and I don’t know about that, it hits the same but you don’t have to charge as often. The design is really cool and less juul, more it’s own thing, plus I think it’s more durable and harder to lose. Dope pen, highly recommended - plug n’ play sounds like a d!ldo stiiizy all the way lol","April 04, 2020"
514,Different colors,5.0 stars,Can y’all make different colored big battery’s?,"July 06, 2020"
515,BOMB ASF👌🏼👌🏼🔥,5.0 stars,Not gunna lies this battery rips some good fucking clouds had mine about 4 months went tubing on the river got fully soaked just put that bih in thhe sun for couple hrs and the bitch WORKED AFTER GETTING COMPLETE GONE UNDERWATER 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👌🏼👌🏼👌🏼🔥🔥🔥,"June 22, 2019"
516,BIIIG STIIIZY = BEST PEN EVER,5.0 stars,these joints smack harder then my dads belt with the Grand Daddy Purpp few blinks and you’ll be soaring,"August 28, 2020"
517,Big Boy Hits,5.0 stars,"It hits much better and bigger, but kills the kart quicker... Cause and effect","May 15, 2019"
518,Stiiiizy im back ...for good 😍😍😍,5.0 stars,"Ok so i started with regular stiiizy battery and love stiiizy but got tired of pulling so hard. So i got a Plugplay, and while it rips, i do not enjoy their design, or pods /selection. and for some reason they made me 🗣my 🧠 out! well i got a biiig and im SO darn glad!!! 🤩👍 the design...it feels so smooth and perfect in the hand! i love that there is no button. the hits are perfect for me 💨 i missed GDP, og kush, sfv og, skywalker og, stawberry cough. and more to try!! right now im on 💭9! just popped in the best of all time delicious, GDP 🍇🍇🍇🍇 the flavor, the full, smooth rips and the high. I know you folks at stiiizy make $....but im excited to have a brand i trust, can verify thats super potent. thanks and keep it comming!!!!!! 🔥🔥🔥🔥🔥🔥👍👍👍 ps...had to check 7 places until i found one!!! lucky me","November 07, 2020"
519,BIIIG STIIIZY for a first time vape pen indica,5.0 stars,Stuff hits super smoothly. Little to no inhaling is required to produce massive clouds. As a first time after a relatively long tolerance break it definitely got me to where I wanted to be 🙂🙃.,"May 19, 2020"
520,💯💯💯,5.0 stars,"As someone with high tolerance, the stiiizy reg. Kit wasn’t strong enough for me anymore. When I switched to this one I felt the difference when taking hits and I was zoooted..... and blinkers hit fire on this too💯 thanks!!!!🤯","November 25, 2020"
521,Stiiizy big battery kicks big butt !!!,5.0 stars,"Soooooo soooo impressed, it’s been since pre-legalization that I’ve messed with vape pens , the high was always to wispy and short lasting. But a friend of mine has been raving about this biiig battery and stiiizy in general so yesterday I took the plunge and got a purple biiig battery and a Pineapple Express cartridge, I bought many live resins and a half zip of wonderbrett and alien labs and some hash but never got to any of it , I opened the big battery and pod first just to get a tastes …. After three huge clouds I was so baked, I spent the rest of the day just hitting my new banger of a battery and was high every minute of yesterday. Definitely buy one !!! Can’t speak to the original battery but the big battery is a huge game changer!!!!","July 08, 2021"
522,"High Voltage, Big Clouds",5.0 stars,"This is my first Stiiizy product, and I am enjoying how good my Stiiizy pod & battery hit. The Biiig Stiiizy battery has high voltage which results in making bigger clouds. The high voltage also burns the wax a bit faster, but can definitely get you high in a couple hits. I recommend this Biiig Stiiizy battery.","January 21, 2021"
523,Great,5.0 stars,Stiiizy always comes out on top with the best products. This battery is great. Burns hotter and has a longer battery life. It is an advanced kit tho so if you mostly smoke the live resin pods I’d probably just stick with the regular battery as this burns really hot and longer.,"November 15, 2020"
524,do they check for id and medical cards at drop off,5.0 stars,I was wondering if they check for id or medical card when being delivered. never used it so plz help.,"September 22, 2019"
525,Bigger is better in this case,5.0 stars,Bigger is definitely better! Higher voltage more satisfying pull and bigger clouds! Love the color too! Build quality is awesome!,"March 24, 2021"
526,Love these new batteries!,5.0 stars,These are better and works great!,"October 26, 2019"
527,Big Stizzy Battery,5.0 stars,Anybody know where I can get one of the big stizzy batteries? Like what dispo or shop? Not sure if Acres has it but that’s where I usually go,"April 27, 2019"
528,Where are they????,5.0 stars,Theirs like 2 places in all of la that have these and ones a delivery so if you don’t live out their they won’t come to you. And the the other place is far. So what’s the deal stiiizy I live right by a couple of your authorized sellers and they didnt even know about these batteries when I called! You guys are always gonna get a 5 star for me cause it was like revolutionary for when I found you guys after dealing with fake nasty crap for so long but PLEASE PLEASE PLEASE get these batteries out their! I know why you guys made them! And I appreciate it! Stiizy>p&p all day!!!!!,"March 16, 2019"
529,way better than the regular stiiizy,5.0 stars,"i had the regular stiiizy for a couple of months before getting the big one a week ago, and it was definitely worth it!! i had to charge the small one once a day and this one lasts so much longer. sometimes it doesn't recognize the pods and i have to draw for a while before getting anything out, but it's not that big of a deal. love stiiizy products!!","December 25, 2021"
530,stizzzy starter kit,5.0 stars,this product is very good and 100% recommend for a thc vape,"March 12, 2021"
531,Big Batteries are awesome,5.0 stars,"Hits harder, Lasts longer! Totally more than worth the price!","February 27, 2021"
532,I love this thing,5.0 stars,"I seriously haven’t charged mine in like, 2 weeks and it’s still hitting strong. Absolutely in love! Hopefully they release new colors soon!","May 29, 2019"
533,Bigger clouds,5.0 stars,Taking a blinker is like taking a fat dab.,"April 24, 2019"
534,Amazing product. Low Batt Light is top notch.,5.0 stars,"the big battery is really good. it lasts all day and before it just dies on you, the white light you see when you take a pull will turn red before the battery dies, it gives you time to smoke and not just be SOL. stiiizy is one of the best brands, quality and price are very very good.","July 19, 2021"
535,I love it,5.0 stars,I love the Biiig stiiizy bigger and better I hope they have more colors soon,"April 24, 2019"
536,III GOT IIIT,5.0 stars,IIITS HELLA FIIIRE YALL GET IIIT🔥🔥🔥🔥🔥🔥,"March 13, 2019"
537,Starting to be my favorite!,5.0 stars,"I just bought this because of the reviews, and the reviews didn't disappoint!","April 25, 2021"
538,My lifesaver,5.0 stars,Perfect might not have what I order but they provider me with some choices and recommendation and the other best thing that the driver was fast clean and professional I'll give it 100 Stars if I can,"July 16, 2022"
539,Great product! Quality product! Cheap product!,5.0 stars,Great product! Quality product! Cheap product!,"March 15, 2022"
540,Certainly durable and works as advertised,5.0 stars,"Certainly durable and works as advertised, definitely better for me than the regular sized ones","January 14, 2022"
541,"very good app muy bueno , se las recomiendo",5.0 stars,good la neta si se las recomiendo,"December 27, 2021"
542,Newbie,5.0 stars,Im a newbie to this product. I find this impressive. Battery that could last almost a day. I can be high the all day. ;P,"September 13, 2021"
543,Worth it starter!,5.0 stars,Great starter kit for newbies and a good deal! Worth the buy 🤑🤑,"August 26, 2021"
544,Power,5.0 stars,This is power and hits harder. Great deal!,"May 26, 2021"
545,The bestselling vape when available!,5.0 stars,The best when available Recommend it to all my friends. Do you have battery charger only deals? I lose mine too often . No leakage problems !,"January 23, 2021"
546,Bigger and better,5.0 stars,"BIIIG does what it’s intended to do. I really enjoy this over the regular batteries as it’s way more powerful, but I always avoid the BIIIG battery when smoking live resin. BIIIG batteries pair perfectly with the OG or CDT pods 😎","January 11, 2021"
547,This bigger battery is sooooooo worth it!!!!!,5.0 stars,If your not using this bigger battery then your doing it all wrong!!!!,"December 27, 2020"
548,Tha Bomb...,5.0 stars,This disposable stizzy.. Is great...so i can imagine what the rechargeable is like!!!...,"September 18, 2020"
549,100% RECOMMENDED =)),5.0 stars,☺ with granddaddy purp goooooooooooooood~~!!,"August 08, 2020"
550,ABSOLUTE FAVORITE,5.0 stars,I love the BIIIG it hits so good almost like taking a dab! I ALWAYS keep mine on me and stay Stiiizy🤙,"June 27, 2020"
551,Amazing product,5.0 stars,Great. Rips amazing. 5 second hits or less. On my other pens I’d have to hit like 10-12 seconds to get a good rip 😂 big difference,"April 30, 2020"
552,Great,5.0 stars,"High quality, this battery is better than the starter pack","March 31, 2020"
553,"First time here, will return!",5.0 stars,"Super sweet, the girls here are so nice!! And it’s so professional inside! I’ve literally been looking everywhere, downtown and back for a stiiizy, and what do you know...it’s in my neighbor hood! Come here guys! You won’t regret it!","March 19, 2020"
554,pure awesomeness,5.0 stars,amazing product love it's the smoothest vape pen that I've tried and I've tried several by far my favorite I would highly recommend to anyone it's just discrete the perfect size anything and everything a vape user would want in a product!,"March 02, 2020"
555,Spectacular,5.0 stars,The batterie lasts a long time and is perfect for everyday use.,"September 08, 2019"
556,more like a question,5.0 stars,"im new to the vap word , just want to know will the dispensary deliver my new Biig Stiiizy to me if i order off line with the pods..","August 05, 2019"
557,Great Battery,5.0 stars,The biiig stiiizy battery is amazing to use but you have to keep that it is bigger so you’re gonna go through your pods faster. For this battery full grams are the smarter option.,"July 30, 2019"
558,Sleek and functional,5.0 stars,Just copped one of these biiig stiiizy batteries. And I’m impressed definitely not as discreet as original battery but the biiig last forever and somehow regulates the heat a little better.,"April 24, 2019"
559,The best,5.0 stars,Nothing better than this biiig kit. Hits so hard highly recommend it pun intended.,"April 15, 2019"
560,Dank,5.0 stars,"Can taste the pod better, bigger hits, big improvement from the first pod👌🏼👌🏼highly recommend","April 03, 2019"
561,Need it ASAP,5.0 stars,Not now but right now,"March 12, 2019"
562,Big Body Baby,5.0 stars,Fantastic… Once you get this; you got the Juice Now..,"June 02, 2022"
563,I love the product,5.0 stars,Minimalist yet sleek. Battery lasts long enough inbetween charging/,"November 30, 2021"
564,Worth switching over,5.0 stars,Worth switching for me. My previous charging kit kept on breaking after a few months and while STIIIZY's still works up until now.,"November 30, 2021"
565,Durable,5.0 stars,"I like design for the cart, looks very durable, cause that mean it wont break in my pocket if I sit on it accidentally LOL","November 19, 2021"
566,So glad I got this,5.0 stars,"I love this device, it lasts long and charges fast. Glad I bought this","November 14, 2021"
567,Can't go wrong with this,5.0 stars,Can't go wrong with big Stiiizy devices,"October 30, 2021"
568,Awesome product,5.0 stars,This thing has seriously almost replaced cigarettes for me!! Awesome product,"October 09, 2021"
569,Bigger pulls is 😍,5.0 stars,Bigger pulls makes for a big difference!,"August 14, 2021"
570,My vavorite vape,5.0 stars,"I was was introduced to Stiiizy at a Sol Flower location in Tempe, AZ. Deal was buy a pod, get a standard battery. Never tried a pod, liked the sleekness, and Stiiizy rep was super nice. So instead of spending a comparable amount on a 510, bought a pod. I haven’t tried any other pod types. But this thing hits beautifully. Absolutely perfect. Airflow, amount of vapor draw, flavor, effect, etc. Absolute primo. So I quickly bought the Biiig. Then when they came out with the CDT line, I am in love again. Thank you for opening up shop in AZ :)","July 30, 2021"
571,"Bigger battery, bigger clouds!",5.0 stars,Duzn't leave your high hanging!,"May 16, 2021"
572,Big fan of big batteries,5.0 stars,"You heard this before. Bigger is better. Definitely accurate. This device is built solid. Feels like it will last, Pretty good buy!","April 27, 2021"
573,STIIIZY GOLD EDITION,5.0 stars,i got the biiig gold edition definetly feels lighter than the original biiig edition,"April 26, 2021"
574,Great flavors best pods in my opinion,5.0 stars,I love my stiizy i tried plug and play but stiiizy got me i love the strain specific flavors im always where i need to be with one of these i love both the original ang biig battery thing i love about the biig is u can rip it for 3 to 4 sec and get what it would take u to blink the old battery the new build quality is amazing i would love to see a stiizy mini just saying hahaha 😂😂😂 much love stiiizy fam cant wait to cop a lanyard,"April 16, 2021"
575,Amazing,5.0 stars,Green on the go is exceptionally great for their stiiizy cartridges,"January 17, 2021"
576,I really love these,5.0 stars,They are the gift that keeps on giving. Don’t deprive yourself of a stizzy these are wonderful. I am such a happy customer. I couldn’t find anything difficult about it even for first time users. Plus the the design is just great!,"October 25, 2020"
